scv_check_id	exclude_reason	short_what
scv-selfcheck.sh:19:file-f		file $f
scv-selfcheck.sh:24:meta-json-parses		meta.json parses
scv-selfcheck.sh:26:packversion-ver		packVersion=$ver
scv-selfcheck.sh:27:packversion-pin-1-3-9		packVersion pin 1.3.9
scv-selfcheck.sh:29:meta-json-invalid-json		meta.json invalid JSON
scv-selfcheck.sh:35:quick-command-canonical		quick-command ≡ CANONICAL
scv-selfcheck.sh:37:quick-command-drift-vs-canonical		quick-command drift vs CANONICAL
scv-selfcheck.sh:40:quick-command-still-recommends-worker-done-in-wait-d		quick-command still recommends (worker_done) in wait desc
scv-selfcheck.sh:42:quick-command-wait-desc-no-engine-parens		quick-command wait desc no engine parens
scv-selfcheck.sh:45:quick-command-has-user-engine-labels		quick-command has user engine labels
scv-selfcheck.sh:47:quick-command-missing-labels		quick-command missing 작업 완료 / 생존 신호 labels
scv-selfcheck.sh:53:playbook-may-still-show-task-create-title-use-task-t		PLAYBOOK may still show task-create --title (use --task-title)
scv-selfcheck.sh:55:task-create-flag-check-soft		task-create flag check (soft)
scv-selfcheck.sh:58:no-bare-task-create-title		no bare task-create --title
scv-selfcheck.sh:60:playbook-task-title		PLAYBOOK --task-title
scv-selfcheck.sh:63:playbook-result-task-id		PLAYBOOK result.task.id
scv-selfcheck.sh:64:playbook-result-split-handle		PLAYBOOK result.split.handle
scv-selfcheck.sh:65:playbook-wait-liveness-fusion		PLAYBOOK wait·liveness fusion
scv-selfcheck.sh:66:playbook-per-task-dispatch		PLAYBOOK per-task dispatch
scv-selfcheck.sh:67:playbook-rolling-vs-budget		PLAYBOOK rolling vs budget
scv-selfcheck.sh:68:playbook-gate-drain-safety		PLAYBOOK gate drain safety
scv-selfcheck.sh:71:playbook-points-to-ux-md		PLAYBOOK points to UX.md
scv-selfcheck.sh:72:ux-padded-phase-label		UX padded phase label
scv-selfcheck.sh:73:ux-padded-wait-label		UX padded wait label
scv-selfcheck.sh:74:ux-wait-description-korean		UX wait description Korean
scv-selfcheck.sh:75:ux-worker-done-user-label		UX worker_done user label
